Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
Hurtigruta Carglass Sandefjord avd. Kilen;Kilgata 12;3217;SANDEFJORD;BILGLASS;921758944
YRKESBIL1 - UTLEIE AS;Årvollskogen 51;1529;MOSS;ALKOLASVERKSTED;993008303
Senter Landbruksverksted A/S;Engsmyrveien 21, Pb. 40;1740;Borgenhaugen;LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG;918412360
Norsk Scania AS avd. Oslo;Gamle Leirdalsvei 11;1008;OSLO;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN03, ALKOLASVERKSTED;879263662
ANDRESEN BIL AS RAMSTADLØKKA;Ramstadløkka 4;1850;MYSEN;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;911749963
Årvold Autoservice;ÅRVOLLSKOGEN 103;1529;MOSS;EKSOSANLEGG;992169117
HANSENS BILVEKSTED avd Mosjøen;Brugata 10;8658;Mosjøen;BILVERKSTED01, KONTROLLORGAN01;980799530
Remseth Maskin AS;Valldalsvegen, Djupøya;6210;VALLDAL;TRAKTOR;987951281
NAF Senter Haugesund;Hemmingstadveien 21;5535;Haugesund;KONTROLLORGAN01B, BILVERKSTED01B;987372540
Jorkjen MC AS.;INDUSTRITOPPEN 4;4848;ARENDAL;MOTORSYKKELOGMOPED;999100899
Tønsberg Auto A/S;Døvlev. 37;3170;Tønsberg;BILVERKSTED01B, KONTROLLORGAN01B;982283035
Kokstad AutoSenter AS;Kokstadflaten 29;5257;KOKSTAD;BILVERKSTED01, KONTROLLORGAN01;911577313
Autoxo Sport AS;Billingstadsletta 83;1396;BILLINGSTAD;BILVERKSTED01, KONTROLLORGAN01;992154101
Wist Last & Buss AS avd. Stjørdal;H.P. Jenssens gt. 5;7502;STJØRDAL;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;958315120
Møller Bil Hedmark AS, avd. Hamar ;Gjerluvegen 1A;2320;Furnes;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B;976951336
Jensen&Scheele Bil AS;Svingen syd;1789;BERG I ØSTFOLD;BILSKADE;960968727
Bilvarehuset Østfold AS;Vestengveien 40;1705;SARPSBORG;BILVERKSTED01, KONTROLLORGAN01;994973347
DELTRANS AS;Elvahusvegen 6;6658;RINDALSSKOGEN;LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG, HJUL;936395325
MAN Truck & Bus Norge A/S Avd. Stavanger;Røynebergsletta 31;4052;RØYNEBERG;FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, PABYGGER, KONTROLLORGAN04;824387842
Håvard Tørnby Bilservice;Blakervegen 690;1925;BLAKER;BILVERKSTED01;869214442
Volmax AS avd Kongsvinger;Gaupeveien 1;2211;KONGSVINGER;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;984674104
RIIS MONTASJE AS;Vestsivegen 67;2411;ELVERUM;BILGLASS;921979436
Vestoppland Karosseri AS;Nedre Holmenveg 1;2827;HUNNDALEN;BILSKADE;982120918
ALLMETALL AS;Gjerivegen 91;2022;GJERDRUM;PABYGGER;992407360
Autoteknikk;Landfalløya 1;3023;DRAMMEN;BILVERKSTED01B, KONTROLLORGAN01;917383855
Bilia Personbil AS avd Follo;Myrfaret 1;1400;SKI;BILVERKSTED01, KONTROLLORGAN01;976023188
Bulder verksted AS, Verksted Sarpsborg;Gamle Kongevei 101;1712;Grålum;BILVERKSTEDALLE, KONTROLLORGAN04, KONTROLLORGAN01B, BILVERKSTED01B;993026352
LOFOTEN BIL AS;VORSETØYVEIEN 20C;8300;SVOLVÆR;BILVERKSTED01B, KONTROLLORGAN01B;995003430
JA DEKK AS;LANGARINDEN 8;5132;NYBORG;HJUL;995011085
Biltrend Vesterålen AS;Vesterålsgata 144;8403;SORTLAND;BILVERKSTED01, KONTROLLORGAN01;985527474
ØKONOMIDEKK AS;STORVEGEN 49;2420;TRYSIL;HJUL;985524718
Skeie Bilverksted;Skeisleira 55;5217;HAGAVIK;BILVERKSTED01, KONTROLLORGAN01;970002227
ARCTIC TOURS AS;STORENGVEIEN 17;9515;ALTA;BILGLASS;986600884
Møller Bil AS Sandnes og Jæren;Kvernelandsveien;4323;SANDNES;BILVERKSTED01B, KONTROLLORGAN01B;933625583
Mobile Autopartner AS;St.Hansveien 7;3614;KONGSBERG;BILVERKSTED01, KONTROLLORGAN01;984103131
H-MEK AS;Haukanesvegen 91;5652;ÅRLAND;TRAKTOR;918976639
Møller Bil Bergen AS avd. Drotningsvik  ;Janaflaten 20;5179;GODVIK;BILVERKSTED01B, KONTROLLORGAN01B;834083922
Askim Mc Ole-Johnny Skøien;Ramstadløkka 18;1850;MYSEN;MOTORSYKKELOGMOPED;874472492
BATTERI ELEKTRO AS;FROLANDSVEIEN 118;4848;ARENDAL;BILVERKSTED01, KONTROLLORGAN01, BILELEKTRODRIVSTOFFANLEGG, BILBREMSE;914008573
SKJOLD SERVICENTER AS;Skjoldeavikvegen 170;5574;SKJOLD;HJULUTRUSTNING;972417041
RANHEIM BILSERVICE AS;VIKELVFARET 4;7054;RANHEIM;BILVERKSTED01;921332386
TECH-SERVICE AS;Heggstadmyra 15;7080;HEIMDAL;LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG;916617496
Kvavik Auto AS;Åneveien 4;4580;Lyngdal;BILVERKSTED01, KONTROLLORGAN01;976561104
BILXTRA Moss AS;Triovingveien 3;1523;MOSS;BILVERKSTED01;983032133
Møller Bil Ålesund;Brusdalsveien 201;6011;ÅLESUND;BILVERKSTED01B, KONTROLLORGAN01B;921494866
Storebø Bil & Traktor AS;Solevegen 65;5943;AUSTRHEIM;TRAKTOR, BILVERKSTED01, KONTROLLORGAN01;997806948
ELVEVOLL SERVISE & UTLEIE LARS HENRIK COCK;VESTERSIDAVEIEN 1113;9046;OTEREN;HJUL;985642478
STEINKJER BIL AS;Fjordgt.9;7714;STEINKJER;BILVERKSTED01, KONTROLLORGAN01;976970411
Haaland Bilverksted AS;Opstadvn 647;4360;VARHAUG;BILVERKSTED01, KONTROLLORGAN01;811689262
MC & FRITIDSSENTERET AS;GOMSRUDVEIEN 120;3610;KONGSBERG;BILVERKSTED01, KONTROLLORGAN01;977170362
BJØRKKJÆRS AUTO AS;Ole Halvorsens vei 921;3788;STABBESTAD;BILVERKSTED01, KONTROLLORGAN01;991447075
BILGLASSPARKEN AS;PROFESSOR BIRKELANDS VEI 27B;1081;OSLO;BILGLASS;997008901
Østlandsk Karosseri A/S;Herbergv. 15;1710;Sarpsborg;BILSKADE;985527334
J. E. Røsstad Bil og Karosseriverksted;MAGNUS BARFOTSVEI 7;4633;KR.SAND;BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01;970440690
Auto Nord AS;Skattøravegen 54;9018;TROMSØ;BILVERKSTED01, KONTROLLORGAN01;837123992
Drøbak Bil Rep Carozzeria Alfa AS;Holterkollveien 7;1440;DRØBAK;BILVERKSTED01;990742626
Sulland Lillehammer AS;Moavegen 35 ;2619;LILLEHAMMER;BILVERKSTED01, KONTROLLORGAN01;979488378
SPOT-ON AS;KOBBERVIKDALEN 95;3036;DRAMMEN;BILGLASS;998613078
HEGRA BENSINSTASJON AS;;7520;HEGRA;LYSUTSTYR, HJUL;936225861
Funnemark AS, avd  Porsgrunn.;Slottsbrugate  5;3915;PORSGRUNN;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;911876493
KÅRE NERVIK BILFORRETNING AS;Øyfjellg.12;8656;Mosjøen;BILVERKSTED01B, KONTROLLORGAN01B;977083389
Skaane Import Bilverksted AS, avd. Nykirke;Nykirkeveien 271;3180;NYKIRKE;BILVERKSTED01, KONTROLLORGAN01;998418615
Vianor AS,avd, Grini;Grini Næringspark 8 E;1361;ØSTERÅS;BILVERKSTED01, KONTROLLORGAN01;935429447
BJUGN BILSERVICE AS;Lyngrabben 5;7160;BJUGN;BILVERKSTED01, KONTROLLORGAN01;916727941
STEINKJER ELEKTRO-DIESEL AS;Gamle Figga 2;7712;Steinkjer;BILVERKSTED01B, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01B;966456752
HØSTLAND AUTO AS;Utøyvegen 766;7670;INDERØY;BILVERKSTED01, KONTROLLORGAN01;998588391
TRIO BILSERVICE A/S;Bruvegen 63;2260;Kirkenær;BILVERKSTED01, KONTROLLORGAN01;983533604
Rune Ørke Bilservice;Frakkagjerdvegen 154;5563;Førresfjorden;BILVERKSTED01;981025202
K. Simonsen Storbilsenter AS;Stangnesterminalen 15;9409;HARSTAD;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04, TRAKTOR;998605644
Lazy Boys Speed & Custom Works AS;Strømsveien 266;668;OSLO;MOTORSYKKELOGMOPED;971179465
BIL - REP - Iver Gribbestad;Plutovegen 3;6419;MOLDE;BILVERKSTED01, KONTROLLORGAN01;977064740
SKAANSAR AUTO AS;Moaveien 33 B;2605;LILLEHAMMER;BILVERKSTED01, KONTROLLORGAN01;976548248
Fixbil Knarvik AS;Kvassnesvegen 41;5914;ISDALSTØ;BILVERKSTED01, KONTROLLORGAN01;985283796
Akershus Karosseri AS;Vestvollveien 28 C;2019;SKEDSMOKORSET;BILSKADE;951755613
Haugen Bilverksted AS;Borkhusvegen 40;2584;Dalholen;BILVERKSTED01, KONTROLLORGAN01;995697815
Dekkteam Avd Sarpsborg;Industriveien 17;1725;SARPSBORG;HJUL;870897332
Mobile Moss AS;Buen 5;1528;Moss;BILVERKSTED01, KONTROLLORGAN01;931963708
ISEVEIEN SERVICES AS;Bredmyra 9;1739;BORGENHAUGEN;PABYGGER, FARTSSKRIVER, ALKOLASVERKSTED;912569586
TELEMARK AUTO AS;KLYVEVEIEN 54;3740;SKIEN;BILVERKSTED01;911855461
Bavaria Sør, avd. Farsund;Ferjeveien 17;4550;FARSUND;BILVERKSTED01, KONTROLLORGAN01;984146930
T1MOTOR AS;Tomtegata 7B;2500;TYNSET;BILVERKSTED01;819850712
Jan Reime bil og karosseri as;Hålandsvegen 37;4340;Bryne;BILVERKSTED01, BILVERKSTED02, KONTROLLORGAN01, KONTROLLORGAN02;982825903
BARDU BIL AS;INDUSTRIVEIEN 15;9360;BARDU;BILVERKSTED01;916106092
Sulland Bodø AS ;Gamle Riksvei 15, ;8008;Bodø;BILVERKSTED01B, KONTROLLORGAN01B;958040202
Sulland Hamar  A/S;Disenstrandvegen 9;2321;HAMAR;BILVERKSTED01B, KONTROLLORGAN01B;951773778
LEIV AUSTRHEIM AS;NORDSTRANDV 40 ;6823;SANDANE;BILVERKSTED01, KONTROLLORGAN01;917672997
MB Bilkompetanse;Brothaugen 16;5209;OS;BILVERKSTED01, KONTROLLORGAN01;990344183
MEKONOMEN SERVICES AS avd. Drammen Autoco;Grønland 87;3045;DRAMMEN;BILVERKSTED01, KONTROLLORGAN01;999323332
SURNADAL SERVICESENTER AS;SKEIVEGEN 11;6650;SURNADAL;HJUL;916340125
CITY VEISERVICE AS;Alttaluodda;9520;KAUTOKEINO;HJUL;995890135
LUNDE AUTO AS;HOVEDGATA 8C;3825;LUNDE;BILVERKSTED01, KONTROLLORGAN01;916579721
NETTBUSS AS avd. Eidsvoll;Botshaugtangen;2080;EIDSVOLL;KONTROLLORGAN04, BILVERKSTEDALLE;976948394
AUTOLANE AS;BORGUNDFJORDVEGEN 68;6017;ÅLESUND;HJUL;915109500
Motor- Trade AS;Østre Rosten 8;7075;TILLER;FARTSSKRIVER, BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B;980352706
Hundvåg Bilverksted AS;Austbøsletta 6;4085;HUNDVÅG;BILVERKSTED01, KONTROLLORGAN01;992600365
Vianor AS, avd. Sandvika, Rud;Løxaveien 7;1351;RUD;BILVERKSTED01, KONTROLLORGAN01;935429447
Skien Bilskade & Verksted AS;Bølevegen 79;3724;SKIEN;BILVERKSTED01, KONTROLLORGAN01, BILSKADE;995842092
TOYOTA BILIA Tønsberg;Travveien 3;3170;SEM;BILVERKSTED01, KONTROLLORGAN01;980648915
Alsvåg Autorep AS;Alsvåg;8432;Alsvåg;BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01;879605342
Utvik  Autoservice AS;Karmøyvegen 478;4262;AVALDSNES;BILVERKSTED01, KONTROLLORGAN01, BILVERKSTED01B, KONTROLLORGAN01B;951642150
Hog Parts AS;Sluppenveien 11;7037;TRONDHEIM;MOTORSYKKELOGMOPED;956741017
Absolutt Bilverksted AS;Møllendalsveien 1;5009;BERGEN;BILVERKSTED01, KONTROLLORGAN01;999574106
Toyota Romerike AS avd. Jessheim ;Myrvegen 90;2052;JESSHEIM;BILVERKSTED01, KONTROLLORGAN01;922754136
Norsk Scania AS, avd. Brunkeberg;Ordalsvegen 5;3850;KVITESEID;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;879263662
Nes Bilelektro AS;Runnivegen 45 F;2150;ÅRNES;BILVERKSTED01B, KONTROLLORGAN01B;974484722
KG MOTOR AS;ROKKEVEIEN 14;1779;HALDEN;KONTROLLORGAN01, BILVERKSTED01;915356559
Hesby Auto;Steinnesvåg;4160;FINNØY;BILVERKSTED01B, KONTROLLORGAN01;970360204
Nordic Last og Buss AS avd. Svolvær;Vorsetøyveien 20;8305;SVOLVÆR;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04;979463332
PP Service AS;Stasjonsveien 2;7228;KVÅL;HJULUTRUSTNING;991296891
VESTERÅLEN DEKKSENTER AS;Vesterålsgata 10;8400;SORTLAND;HJUL;998563453
CARGLASS AS, avd. Spjelkavik;Brusdalsvegen 200;6011;ÅLESUND;BILGLASS;985758220
MYSEN BIL A/S;Ramstadveien 7;1850;Mysen;BILVERKSTED01, KONTROLLORGAN01;947652036
Asker Elektro Diesel A/S;Bleikerveien 8;1387;ASKER;BILVERKSTED01, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01;954501183
Bilteknikk Gran AS;Midre Morstadgutua 1;2750;GRAN;BILVERKSTED01, KONTROLLORGAN01;997842871
Nordic Last og Buss AS avd. Fauske;Industriveien 5;8208;FAUSKE;FARTSSKRIVER, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04;979463332
LØKVOLL MOTELL OG AUTO-SENTER AS;LØKVOLLVEGEN 5;9144;SAMUELSBERG;HJUL;931903225
Sørum Bilservice AS;Blakervegen 11;1920;Sørumsand;KONTROLLORGAN01, BILVERKSTED01;990217270
Auto 8-8 Vestlandske AS;Lerstadvegen 534;6018;ÅLESUND;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B;982779529
HØNEFOSS GLASS - SERVICE AS;OSLOVEIEN 31;3511;HØNEFOSS;BILGLASS;990190941
BRAGES BIL AS;Digerneset Næringsområde 8;6260;SKODJE;BILVERKSTED01, KONTROLLORGAN01;913180755
Jørpeland Servicenter AS;Ryfylkevegen 953;4100;JØRPELAND;BILVERKSTED01, KONTROLLORGAN01;947441302
Garberg AS;Eitrheim;5750;Odda;BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04;968329618
Åkra Bilimport AS avd. bilskade;Rådhusvegen 114;4270;ÅKREHAMN;BILSKADE;918407820
Gjerstad Lakk Frank Kvernvik ;Melås;4980;GJERSTAD;BILSKADE;896322702
Bilservice Valdres  AS;Jernbanevegen 40;2900;FAGERNES;BILVERKSTED01B, KONTROLLORGAN01B;979479700
STRAUMSNES SERVICESENTER A.S;Kvisvik;6674;Kvisvik;BILVERKSTED01B, KONTROLLORGAN01B;929417240
AS Autoservice;Kusslid;6800;FØRDE;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04, KONTROLLORGAN01;918089861
TK Auto AS;Brårveien 4a;3174;REVETAL;KONTROLLORGAN01B, BILVERKSTED01B;989133284
Intakt Bilskade Verdal AS;Merkurvegen 1 B;7652;VERDAL;BILSKADE, BILGLASS;887773602
TOYOTA BILIA ORKANGER;Løypstrengen 14;7300;ORKANGER;BILSKADE, BILVERKSTED01, KONTROLLORGAN01;980648915
SVEBERG BIL OG OPPRETTING;Stavsjøveien 28;7550;HOMMELVIK;BILVERKSTED01B, BILSKADE;971177489
AUTOKOMPLEX DANIEL NOWAK;RYES GATE 28;3263;LARVIK;BILVERKSTED01;919580038
BF AUTO HELLE & PEDERSEN ANS ;Industritoppen 12 A;4848;Arendal;BILVERKSTED01, KONTROLLORGAN01;971075384
MARTIN MONSEN AS;MARMORVEIEN 3;8208;FAUSKE;HJUL;928996360
ELVAGJENG TRANSPORT;STENEHJEM;6856;SOGNDAL;HJUL;982527686
Bil i Nord AS avd. Svolvær;Vorsetøyveien 25;8300;SVOLVÆR;BILVERKSTED01B, KONTROLLORGAN01;983666280
STEFANS BILVERKSTED AS;SJØHAGEN 9;4016;STAVANGER;BILVERKSTED01, KONTROLLORGAN01;920547281
Currus Bilverksted AS;Sivesindvegen 14;2827;HUNNDALEN;BILVERKSTED01;918738835
Auto Teknikk Drøbak AS;Dyrløkkvn. 17;1440;DRØBAK;BILVERKSTED01, KONTROLLORGAN01;984049560
SKURVE AUTO AS;SKURVEBAKKANE 1;4330;ÅLGÅRD;KONTROLLORGAN01B, BILVERKSTED01B;816746922
TORDS GARASJE AS;RAGNESTØLBERGET 25B;4347;LYE;HJUL;820456882
Frydenbø Bilsenter AS avd. Loddefjord;Nedbergeveien 13;5178;LODDEFJORD;BILVERKSTED01, KONTROLLORGAN01;967149098
Tores Auto Ågotnes AS;Kvednatunvegen 3;5347;ÅGOTNES;BILVERKSTED01, KONTROLLORGAN01;899515692
DEKKMANN AS AVD Trondheim Tiller 5844;Kvenildmyra 3;7072;HEIMDAL;HJULUTRUSTNING, HJUL;974292890
BILVERKSTED SENTRUM AS;CHRISTIAN KROHGS GATE 1;186;OSLO;BILVERKSTED01, KONTROLLORGAN01;913432290
Kanalkaia Bilsenter AS;Kanalgata 1;3263;LARVIK;BILVERKSTED01B, KONTROLLORGAN01B;987845236
Mehren Karosseri;Vilbergvegen 117;2050;JESSHEIM;BILSKADE;992656530
ATLANTIC AUTO AS;Verftsgata 6A;6430;Bud;BILVERKSTEDALLE, KONTROLLORGAN04;929023803
FRITIDSSENTRET AS;LEIRA 8;8665;MOSJØEN;HENGERESPALOPSBREMSEANLEGG;930675040
BILXTRA AUTOGÅRDEN KONGSBERG AS;KOBBERBERGSVEIEN 8;3615;KONGSBERG;BILVERKSTED01, KONTROLLORGAN01;914746345
HERØY BIL OG MASKIN AS;Sørherøyveien 2;8850;Herøy;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;965714049
SKODJE AUTO AS;Skodje;6260;Skodje;BILVERKSTED01B, KONTROLLORGAN01B;959129495
VIKING REDNINGSTJENESTE DETALJ AS;VOLLAVEIEN 15;668;OSLO;HJUL;916531028
M&M Auto AS;Trommedalsjordet 2;3735;SKIEN;BILVERKSTED01, KONTROLLORGAN01;995945037
SAINT-GOBAIN AUTOVER NORGE AS;Grasdalen 26;4636;KRISTIANSAND S;BILGLASS;918276785
Bilxtra Lørenskog AS;Industriveien 6;1473;LØRENSKOG;BILVERKSTED01, KONTROLLORGAN01;999329357
AUNANS BILVERKSTED; Skaun;7357;SKAUN;BILVERKSTED01, KONTROLLORGAN01;970091394
AMUNDSENS BILVERKSTED A/S;Byflatveien 165,;2385;BRUMUNDDAL;BILVERKSTED01, KONTROLLORGAN01;971580275
Godvik Bilverksted AS ;Godviksvingene 160;5179;Godvik;BILVERKSTED01, KONTROLLORGAN01;989286137
Svebjørn Auto AS;Fagernesveien 139;8514;NARVIK;BILVERKSTED01, KONTROLLORGAN01;952256718
GREÅKER BILKONTROLL AS.;Eikveien 26;1720;Greåker;BILVERKSTED01, KONTROLLORGAN01;951257303
ERIK TVEITEN;HELLEVEIEN 50;4595;TINGVATN;HJUL;816798442
Erik Arnesen Helsfyr AS;Østensjøveien 12;661;OSLO;BILVERKSTED01, KONTROLLORGAN01;976547578
WIKE KAROSSERI OG BILLAKK AS;SKOLEGATEN 49;3080;HOLMESTRAND;BILGLASS;987788542
Bertel O. Steen BilVenture A/S;Solheimveien 7;1471;LØRENSKOG;BILVERKSTED01, KONTROLLORGAN01;987211652
BODAHL-JOHANSEN AS avd SKI;Verkstedveien 17;1400;SKI;HJUL;965308032
NARDO BIL NORD-TRØNDELAG AS AVD STEINKJER;MOLOVEIEN 10;7714;STEINKJER;KONTROLLORGAN01, BILVERKSTED01;819264392
Møller Bil Etterstad;Grenseveien 67;663;OSLO;BILVERKSTED01, KONTROLLORGAN01;917805717
Leif Hastadklev AS, avd Stjørdal;Hotellgata 4;7500;Stjørdal;BILVERKSTED01, KONTROLLORGAN01;924432845
TUNHEIM AUTO;Vevelstad;8976;Vevelstad;BILVERKSTED01;982211700
INVEST-SERVICE KRYSTIAN S KLINKOSZ;Samuel J. Sandvedsv. 16;4319;SANDNES;HJUL;915757685
Bilsenteret A/S;Rudsletta 78 ;1351;RUD;BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01;924327456
LUNDEBY AUTO A.S.;Lundebyveien 415 (Fjellstad);1878;Hærland;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;976679547
Auto Finans Bilverksted;Flyplassveien 215;4050;SOLA;BILVERKSTED01;944019146
VARDEBERG DIESEL OG ELEKTRO SERVICE;Rosenborggutua 18;2390;MOELV;BILELEKTRODRIVSTOFFANLEGG, BILDIESEL;879875242
KRISTIAN THOWSEN AS, avd Stathelle;Krabberødveien 6;3917;PORSGRUNN;BILGLASS;916748426
Auto 88 AS;Halsabrotet 4;5463;USKEDALEN;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;984088647
BRØDRENE SMEDSTUEN AS;Vålgutua 208;2436;Våler;BILVERKSTED01B, KONTROLLORGAN01B;865866372
BILBUTIKK 1 - FOLLO AS avd. Sarpsborg;Glomveien 5;1710;SARPSBORG;KONTROLLORGAN01B, BILVERKSTED01B;990175373
AS DIESEL-ELEKTRO;HALBRENDSLIA 24;6803;FØRDE;BILVERKSTED01, HJULUTRUSTNING, KONTROLLORGAN01;961800242
Bulder Verksted AS avd. Trondheim;Terminalen 7;7080;HEIMDAL;BILVERKSTEDALLE, PABYGGER;993026352
Voss Kran og Maskinservice AS;Fellesverkstaden, Bømoen;5705;VOSS;TRAKTOR;896817582
Bjerkreim Bilverksted AS;Vikesågt 2 ;4389;Vikeså;BILVERKSTED01;956796792
Volvo Truck Center, avd. Lillehammer;Industrigata 92;2619;LILLEHAMMER;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;910712799
LE MO AS;HESJEBUKT;9068;NORD-LENANGEN;HJUL;997515021
Kverneland Bil Jæren AS;Eskervegen 7;4340;BRYNE;BILVERKSTED01, KONTROLLORGAN01;977047684
DEKK COMPANIET ASKØY AS;STRUSSHAMNVEGEN 36;5302;STRUSSHAMN;HJUL;920321704
K.J. FLOTTENS BILVERKSTED;Ulsberg;7393;RENNEBU;BILVERKSTED01;969258218
Automatic Transmission Service;Heiasvingen 79;1900;FETSUND;BILVERKSTED01B;970276327
SKAUN DEKKSERVICE;REKSTADÅSEN;7357;SKAUN;HJUL;878281292
BRUKTBILCENTRALEN;pb.110;5207;Søfteland;BILVERKSTED01, KONTROLLORGAN01;956288606
Våler Landbruksverksted;Bjørnerødveien 324;1591;SPERREBOTN;BILVERKSTED01, TRAKTOR;970340521
BONDAL MOTOR AS;Fyresdalsvegen 2188;3870;FYRESDAL;MOTORSYKKELOGMOPED, TRAKTOR;993481874
LEONHARD NILSEN & SØNNER AS;Saltfjellveien 805;8630;STORFORSHEI;BILVERKSTED01;937843771
SANDVEN BRITISH CARS BERGEN AS;Sandbrekketoppen 30;5224;NESTTUN;BILVERKSTED01;815310772
Nordic Last & Buss AS Alta;Bjørn Wirkolas vei 11;9510;ALTA;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04;979463332
FØLLING MASKIN;Viksdalen;6978;VIKSDALEN;BILVERKSTED01, BILVERKSTED02, PABYGGER, TRAKTOR;984673213
SUNNDAL BILSERVICE AS;HOVSVEGEN 19;6600;SUNNDALSØRA;HJUL;985574731
RADØY AUTO A/S;Radøyvegen 1607;5936;MANGER;BILVERKSTED01B, KONTROLLORGAN01B;984659482
Alta Motorsenter AS;Aronneskjosen;9509;Alta;BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B;967960217
CARAVANSERVICE TANGJERD AS;BØHEIVEGEN 3;4262;AVALDSNES;HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR;998845416
Rud Bilservice AS;Rudssletta 72;1351;RUD;BILVERKSTED01, KONTROLLORGAN01;913653866
Centrum Bil og Karosseri AS;Storgata 45;8430;Myre;BILVERKSTED01B, KONTROLLORGAN01B;966235152
Stokke Biloppretting AS;Feenveien 184;3160;STOKKE;BILSKADE;990725713
MCE A/S;Tonganev. 53;5590;ETNE;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, PABYGGER, KONTROLLORGAN04;982837553
Dags Båt og MC;Rødsbråtan 62;1628;ENGELSVIKEN;MOTORSYKKELOGMOPED;979539711
Tide Verksted AS avd. Kvinnherad;Onarheimsvegen 8;5460;HUSNES;BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN01B, KONTROLLORGAN02;985538220
DYRØY VEDLIKEHOLD;KVERNELANDSVEGEN 496;4346;BRYNE;BILGLASS;917400547
Jevnaker Bil og Karosseri AS;Sigurd Dahls veg 1;3520;JEVNAKER;BILVERKSTED01, KONTROLLORGAN01;992448016
Norsk Scania AS, avd.Ålesund;Digernes Skodje;6260;Ålesund;FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN03, ALKOLASVERKSTED;879263662
NORTECK AS;SOLBAKKENFELTET;6869;HAFSLO;HJUL;992203803
Stemmen Bilverksted;STEMMEN;4715;ØVREBØ;BILVERKSTED01, KONTROLLORGAN01;988370339
AXESS LOGISTICS AS;Svend Haugesgr. 31;3013;DRAMMEN;BILVERKSTED01, ALKOLASVERKSTED;917722773
Norsk Scania AS avd. Førde;Tverrgrova 1;6802;FØRDE;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN03;879263662
HAGA AUTOSALG  as;Nedre Nøttveit 64;5238;RÅDAL;BILVERKSTED01B, KONTROLLORGAN01B;966494638
MYRVANG SERVICE;MEVIKVEIEN 8;8145;STORVIK;HJUL;985753024
KA Bilpartner AS;Langgata 19;4515;MANDAL;BILVERKSTED01, KONTROLLORGAN01;966299800
Bilmekaniker'n Fron AS;Transportvegen 8;2640;VINSTRA;BILVERKSTED01, KONTROLLORGAN01;983047963
KLEPP ANTIRUST AS;KJØPMANNSBROTET 8;4352;KLEPPE;BILVERKSTED01;913968611
COOP RØROS SA AVD STATOIL SERVICE BREKKEN;Brekken;7370;BREKKEBYGD;HJUL;988657573
SUNNFJORD BIL AS;HOLTEMYRANE 10;6800;FØRDE;BILVERKSTED01, KONTROLLORGAN01;979932626
ELVERUM SPORT BILSALG AS;Svartbekkvegen 31;2406;ELVERUM;FARTSSKRIVER, BILVERKSTED01B, KONTROLLORGAN01B;916543859
AUTOSERVICE ELVERUM AS;INDUSTRIGATA 17;2406;ELVERUM;BILVERKSTED01;917568243
Lakkservice AS;Torbjørnsbu 3;4847;Arendal;BILSKADE;950430702
Sulland Mo AS;Redvald Knutsons vei 1;8624;Mo i Rana;BILVERKSTED01B, KONTROLLORGAN01B;915167330
